Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability,Cluster,Silhouette
R040,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,23,Hard,U458,Vegetarian,4,Feedback 40,2024-05-01,Winter,Lunch,3,267,Dairy,15.41,192,Yes,4,0.27471133905912004
R041,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,48,Medium,U227,None,3,Feedback 41,2024-10-31,Fall,Party,3,706,,7.17,106,Yes,3,0.259464176044557
R042,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,70,Medium,U443,Gluten-Free,3,Feedback 42,2024-10-30,Spring,Party,2,450,,12.77,476,No,0,0.31320951885623793
R043,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,41,Medium,U916,Gluten-Free,4,Feedback 43,2024-05-17,Fall,Party,2,653,,12.7,472,No,0,0.3098000317570354
R044,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,75,Easy,U402,None,4,Feedback 44,2024-09-19,Fall,Casual,5,567,Gluten,11.48,119,Yes,1,0.2963104179306608
R045,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,32,Medium,U399,Gluten-Free,3,Feedback 45,2024-08-15,Summer,Party,5,609,,10.55,176,No,0,0.33433141268454175
R046,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,66,Hard,U840,Vegetarian,1,Feedback 46,2024-03-10,Spring,Dinner,2,740,Dairy,16.67,226,No,4,0.30964323377703523
R047,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,39,Hard,U328,Vegetarian,5,Feedback 47,2024-10-07,Spring,Party,3,483,Dairy,17.84,102,Yes,4,0.3017934725305232
R048,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U266,None,4,Feedback 48,2024-08-02,Spring,Party,4,476,,7.58,80,Yes,3,0.22614642866324003
R049,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,28,Medium,U699,Gluten-Free,5,Feedback 49,2024-10-15,Spring,Party,1,712,,8.37,417,No,0,0.27628834144306536
R050,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,83,Hard,U977,Vegetarian,2,Feedback 50,2024-06-09,Spring,Casual,4,385,Dairy,13.32,370,Yes,4,0.31311289540255327
R051,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,27,Medium,U144,None,5,Feedback 51,2024-04-06,Spring,Casual,5,401,,17.05,138,No,3,0.2773826666669679
R052,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,67,Medium,U324,Gluten-Free,1,Feedback 52,2024-02-07,Winter,Casual,1,547,,11.24,376,No,0,0.3677541688218907
R053,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,76,Medium,U516,Gluten-Free,3,Feedback 53,2024-09-16,Summer,Casual,1,485,,18.71,85,No,0,0.25198459140554663
R054,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,30,Easy,U379,None,2,Feedback 54,2024-11-01,Summer,Lunch,3,604,Gluten,15.2,369,Yes,1,0.3150376984220839
R055,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,22,Easy,U605,Vegan,4,Feedback 55,2024-07-20,Winter,Party,5,336,Soy,5.35,204,No,2,0.24447582476744545
R056,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,86,Medium,U205,None,4,Feedback 56,2024-06-11,Fall,Casual,6,772,,14.17,435,No,3,0.22321521108194323
R057,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,71,Medium,U971,None,1,Feedback 57,2024-01-07,Fall,Casual,6,549,,8.29,239,Yes,3,0.3225901174281222
R058,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,50,Medium,U198,Gluten-Free,2,Feedback 58,2024-06-12,Winter,Lunch,3,704,,18.62,226,Yes,0,0.2967603406883855
R059,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,18,Hard,U838,Vegetarian,5,Feedback 59,2024-08-20,Winter,Casual,4,278,Dairy,13.69,100,No,4,0.2467643002706044
R060,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,31,Medium,U897,None,3,Feedback 60,2024-02-16,Summer,Party,4,533,,9.11,279,Yes,3,0.33719656492677685
R061,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,33,Medium,U310,Gluten-Free,1,Feedback 61,2024-02-24,Spring,Dinner,2,450,,10.45,193,No,0,0.3485285450636695
R062,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,89,Hard,U983,Vegetarian,1,Feedback 62,2024-03-12,Spring,Casual,5,247,Dairy,18.22,354,No,4,0.23239044439987508
R063,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,89,Medium,U420,None,3,Feedback 63,2024-09-23,Summer,Party,5,432,,11.37,141,No,3,0.2652754367846265
R064,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,26,Hard,U656,Vegetarian,1,Feedback 64,2024-04-12,Winter,Lunch,6,537,Dairy,11.65,253,No,4,0.3475453000909195
R065,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,32,Easy,U297,None,2,Feedback 65,2024-10-12,Spring,Party,6,520,Gluten,17.66,372,No,1,0.30222696074046584
R066,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,90,Medium,U358,Gluten-Free,2,Feedback 66,2024-08-29,Winter,Casual,3,360,,8.91,191,Yes,0,0.2704133864436471
R067,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,54,Easy,U322,None,1,Feedback 67,2024-11-06,Fall,Lunch,2,514,Gluten,11.39,137,Yes,1,0.3403630654057775
R068,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,69,Hard,U238,Vegetarian,4,Feedback 68,2024-01-06,Fall,Casual,5,512,Dairy,15.29,343,Yes,4,0.3630132945236207
R069,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U561,None,1,Feedback 69,2024-10-27,Spring,Casual,2,451,,16.41,276,No,3,0.2784572730111502
R070,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,55,Hard,U959,Vegetarian,1,Feedback 70,2024-01-21,Fall,Party,3,660,Dairy,7.36,110,Yes,4,0.2975001555952278
R071,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,72,Hard,U832,Vegetarian,1,Feedback 71,2024-04-05,Spring,Dinner,1,356,Dairy,17.79,320,No,4,0.3104132616819649
R072,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,85,Medium,U656,Gluten-Free,1,Feedback 72,2024-06-04,Winter,Party,3,234,,12.31,352,Yes,0,0.26657411436408146
R073,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,19,Medium,U748,None,4,Feedback 73,2024-02-22,Summer,Party,3,798,,19.89,272,Yes,3,0.20558044270129586
R074,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,46,Easy,U173,None,3,Feedback 74,2024-08-21,Fall,Party,4,525,Gluten,16.28,204,Yes,1,0.34665030409082126
R075,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,62,Easy,U575,None,5,Feedback 75,2024-09-11,Fall,Casual,2,733,Gluten,11.53,341,No,1,0.30659994906963456
R076,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,65,Hard,U779,Vegetarian,4,Feedback 76,2024-05-09,Fall,Casual,4,647,Dairy,18.97,373,Yes,4,0.29250229053003995
R077,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,29,Medium,U527,Gluten-Free,4,Feedback 77,2024-05-19,Summer,Party,4,788,,19.77,57,Yes,0,0.19460927737004205
R078,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,90,Hard,U285,Vegetarian,5,Feedback 78,2024-12-01,Fall,Lunch,4,382,Dairy,7.3,230,Yes,4,0.27261889855821
R079,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,67,Medium,U829,Gluten-Free,1,Feedback 79,2024-04-15,Spring,Dinner,4,368,,8.34,271,No,0,0.3384613346068038
R080,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,54,Hard,U530,Vegetarian,3,Feedback 80,2024-08-02,Winter,Casual,4,472,Dairy,15.65,179,No,4,0.3733335499840135
R081,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,28,Easy,U251,None,5,Feedback 81,2024-10-10,Winter,Lunch,1,560,Gluten,15.31,488,No,1,0.2642900705615137
R082,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,77,Easy,U929,None,4,Feedback 82,2024-04-27,Spring,Party,1,271,Gluten,17.16,490,Yes,1,0.22149475798411525
R083,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,77,Medium,U472,None,3,Feedback 83,2024-08-31,Winter,Casual,6,424,,15.66,413,Yes,3,0.29189122389010536
R084,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,75,Easy,U183,Vegan,2,Feedback 84,2024-10-12,Winter,Lunch,1,479,Soy,17.2,364,No,2,0.3207024736578828
R085,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U976,Vegan,5,Feedback 85,2024-07-07,Summer,Lunch,2,783,Soy,7.95,239,No,2,0.23550408252454286
R086,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,25,Medium,U394,Gluten-Free,3,Feedback 86,2024-05-19,Fall,Lunch,1,246,,19.76,244,Yes,0,0.23152718852159582
R087,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,18,Hard,U894,Vegetarian,1,Feedback 87,2024-07-14,Summer,Dinner,3,700,Dairy,17.13,251,No,4,0.26792566644845106
R088,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,58,Medium,U550,Gluten-Free,4,Feedback 88,2024-02-01,Summer,Party,5,540,,14.18,426,No,0,0.3565175910807699
R089,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,74,Easy,U499,None,2,Feedback 89,2024-05-16,Winter,Casual,2,479,Gluten,15.97,331,Yes,1,0.327022220353776
R090,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,87,Medium,U532,None,3,Feedback 90,2024-12-08,Spring,Dinner,5,415,,6.08,431,No,3,0.22634995465147734
R091,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,72,Medium,U840,Gluten-Free,4,Feedback 91,2024-10-04,Winter,Lunch,4,395,,17.19,260,No,0,0.32436315186458553
R092,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,54,Medium,U492,None,4,Feedback 92,2024-07-07,Summer,Lunch,6,486,,7.96,262,No,3,0.3485416183426503
R093,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,85,Easy,U107,Vegan,5,Feedback 93,2024-02-02,Winter,Dinner,3,528,Soy,18.73,206,No,2,0.2742443695830409
R094,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,51,Easy,U946,Vegan,2,Feedback 94,2024-11-09,Fall,Dinner,6,352,Soy,5.96,452,No,2,0.2606221194991339
R095,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,61,Medium,U972,Gluten-Free,1,Feedback 95,2024-03-06,Winter,Party,2,528,,8.29,345,No,0,0.35864312060456593
R096,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,77,Medium,U155,None,4,Feedback 96,2024-01-12,Spring,Casual,5,551,,12.74,51,No,3,0.2615359522996072
R097,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,88,Easy,U295,None,3,Feedback 97,2024-08-09,Winter,Dinner,5,256,Gluten,5.13,122,No,1,0.1920653841508084
R098,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,41,Medium,U603,None,4,Feedback 98,2024-04-11,Spring,Dinner,4,364,,9.39,421,Yes,3,0.3094439610849961
R099,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,27,Hard,U286,Vegetarian,1,Feedback 99,2024-07-21,Winter,Party,6,344,Dairy,16.73,490,No,4,0.2408734056271775
